gene,abundance
yxlD,15.2
yojO,15.2
opcR,15.2
ybaE,15.1
yphE,15.1
yoqW,15.1
skfE,15.1
ypjG,15
licC,15
ywfO,15
recU,14.9
yoqP,14.9
yrhJ,14.9
nasE,14.8
moaA,14.8
rnhB,14.8
mrpG,14.8
ytnI,14.8
ywgA,14.8
yqkC,14.8
yabB,14.8
xkdF,14.8
ycnB,14.8
yjhB,14.8
cse15,14.7
recG,14.7
ypcP,14.7
pssA,14.7
iolH,14.6
yheE,14.6
BSU21530,14.6
comFA,14.6
yotG,14.5
sspF,14.5
xylA,14.5
yqjU,14.5
nasD,14.5
yckC,14.4
Bsubs1_010100009416,14.4
alkA,14.4
ypoC,14.4
yqxI,14.4
yhcY,14.4
yxiT,14.4
yazB,14.4
yloB,14.3
yppF,14.3
mobA,14.3
ycbR,14.2
int,14.2
yfnF,14.2
spo0B,14.2
yrkI,14.2
ydaE,14.2
ytfP,14.1
tagC,14.1
bshA,14.1
BSU17080,14
yjbJ,14
ypvA,13.9
ynzF,13.9
gerBC,13.9
uvrX,13.9
yojM,13.9
yjdG,13.8
kipA,13.8
yybC,13.8
yxaD,13.8
smf,13.8
adaA,13.8
ynzH,13.8
csbC,13.8
ytrI,13.8
bsdC,13.7
rapI,13.7
ykvN,13.7
yocR,13.6
comED,13.5
yxiI,13.5
yndK,13.5
yxiN,13.5
yqgY,13.5
gmuC,13.5
ytmP,13.5
yopU,13.4
yugM,13.4
ydaP,13.4
yhbF,13.3
yfiS,13.3
yqaQ,13.3
yfnB,13.3
ybbK,13.3
ymzD,13.2
malS,13.2
ydbI,13.2
yqhR,13.2
gerD,13.2
ywqF,13.2
ykuT,13.2
yraJ,13.1
ylaJ,13.1
gmuD,13.1
mrpA,13.1
yqgH,13.1
ytoI,13.1
cwlJ,13
yqgI,13
yqcI,13
ynaD,13
sigV,13
yomD,13
yvcQ,12.9
ydhB,12.9
prpB,12.9
sacT,12.9
ybdK,12.9
hxlA,12.8
ssb,12.8
Bsubs1_010100010966,12.8
spoIIIE,12.8
cssS,12.8
hepB,12.8
dnaB,12.8
yhbD,12.8
thiN,12.8
gmuA,12.8
rsbRD,12.8
yclK,12.7
kinE,12.7
fadF,12.7
yerO,12.7
yhbH,12.7
exuR,12.7
xerD,12.6
sacY,12.6
yojK,12.6
gbsA,12.6
dltE,12.6
ydzA,12.6
ydbT,12.6
psd,12.6
yuxN,12.6
sunA,12.6
prmC,12.6
yotI,12.6
yybG,12.6
ykuK,12.6
clsA,12.5
ycsI,12.5
pksF,12.5
yabE,12.5
yvaV,12.5
yyaP,12.4
yonI,12.4
xkdN,12.4
acpK,12.4
yfjT,12.4
opuBC,12.4
ypgQ,12.3
yuiH,12.3
thiI,12.3
ydbA,12.3
pbpF,12.3
spoVM,12.3
yngJ,12.3
deoR,12.3
pksE,12.2
ntdR,12.2
rimI,12.2
ycdF,12.2
bacE,12.2
yqaT,12.2
nhaK,12.2
ytnP,12.2
pksG,12.2
yvbT,12.2
mreD,12.2
yuiA,12.1
ypuB,12.1
ypeP,12.1
levG,12.1
spoIIE,12.1
mta,12.1
yocA,12.1
yyaN,12.1
ytcC,12.1
yngI,12
spoVT,12
nhaX,12
ywrC,12
yitH,12
menF,11.9
hemZ,11.9
xkdB,11.9
yonG,11.9
ybxF,11.9
yddE,11.9
yfiK,11.9
yabT,11.9
yhcG,11.8
gin,11.8
pucF,11.8
BSU21650,11.8
fin,11.8
mntD,11.7
natA,11.7
yceA,11.7
hflX,11.7
spoVIF,11.7
helD,11.7
ydgE,11.7
truA,11.6
tatAd,11.6
yjgC,11.6
sacA,11.6
cisA,11.6
ywcB,11.6
ypiF,11.6
yodS,11.6
sleB,11.6
ysxB,11.5
cotO,11.5
ycxA,11.5
ydfF,11.4
yqxH,11.4
yorP,11.4
spoIIR,11.4
yxjB,11.4
yflH,11.3
yesM,11.3
yddB,11.3
yutK,11.3
ywpE,11.3
slrA,11.3
ppsC,11.3
yunG,11.3
yraE,11.3
med,11.3
yodR,11.3
aseR,11.3
natK,11.2
prpD,11.2
levB,11.2
yxiD,11.1
alsR,11.1
iolX,11.1
yplQ,11.1
ywtC,11.1
ythQ,11.1
yufS,11
kamA,11
fliJ,11
ydbN,11
yuxL,11
yitP,11
cotS,11
yvdE,11
hemN,11
dus1,11
cypC,11
yjdF,10.9
yqeN,10.9
prcR,10.9
ymaG,10.9
mntB,10.9
iolJ,10.9
ypbB,10.9
yqbB,10.8
yxlA,10.8
ydaC,10.8
yrkN,10.8
yyaT,10.8
yosS,10.8
ypzE,10.8
yokK,10.8
yddQ,10.8
yonH,10.8
kinB,10.8
yddF,10.8
dtd,10.8
yojD,10.8
ywoH,10.7
yisZ,10.7
yomP,10.7
ymaF,10.7
yyaR,10.7
ydgC,10.7
ygaN,10.6
Bsubs1_010100009731,10.6
bceA,10.6
holB,10.6
yitE,10.6
ydgD,10.6
uvrC,10.6
yitZ,10.6
sigL,10.6
yetA,10.6
tuaD,10.6
yunD,10.6
rsbQ,10.5
yxeC,10.5
yueI,10.5
ygaE,10.4
yosE,10.4
yoqE,10.4
yrhC,10.4
ydjM,10.4
fliZ,10.4
yfjQ,10.4
ypuF,10.4
xkdO,10.4
yxxB,10.4
yebG,10.4
xpf,10.3
yflI,10.3
ydcQ,10.3
licR,10.3
ylaD,10.3
yuzE,10.2
yhdJ,10.2
xylR,10.2
ebrA,10.2
yteU,10.2
ybyB,10.1
yxlF,10.1
yunC,10.1
yvoA,10.1
spoIIIAA,10.1
spoVR,10.1
pucD,10.1
ytrP,10.1
cwlH,10.1
opuE,10
ymxH,10
yerI,10
ggt,9.98
yurZ,9.97
ybfN,9.96
yhcO,9.95
ppsE,9.95
yisU,9.93
ybeF,9.91
glsA2,9.9
yppD,9.88
yclE,9.86
yoqD,9.84
comX,9.81
yoaH,9.81
yopF,9.78
catD,9.73
yerB,9.73
Bsubs1_010100012866,9.73
acdA,9.73
yqkA,9.72
ykfB,9.71
yobL,9.71
yvrL,9.68
cotW,9.66
yfjP,9.65
cueR,9.63
trpE,9.62
recF,9.61
ywdJ,9.6
mmgD,9.58
yosN,9.57
yozP,9.57
yddC,9.55
exoA,9.53
thiL,9.53
alr2,9.52
yxiO,9.5
yonO,9.48
spoVAC,9.47
yubA,9.47
ykkA,9.46
yyaE,9.46
yurS,9.45
ppsA,9.45
yrkF,9.4
yumB,9.39
ywlC,9.39
aprX,9.36
araR,9.36
hutI,9.36
yxeE,9.35
ywaC,9.32
yonV,9.31
citN,9.28
spoVAEA,9.28
yisX,9.24
yopV,9.23
priA,9.22
glcR,9.21
rtpA,9.19
yvrG,9.19
glgP,9.19
cysL,9.18
yqbI,9.18
yxaB,9.17
yheN,9.15
yqjX,9.14
mraY,9.13
pksL,9.12
skfH,9.11
yndH,9.11
kdgK,9.11
yqxD,9.1
yomJ,9.1
yetL,9.08
bltR,9.08
moaD,9.07
bdbC,9.04
citT,9.02
pucR,9
ctaB1,8.99
ybfG,8.99
czcO,8.98
epsN,8.97
yezA,8.97
acoR,8.97
yvoF,8.97
araN,8.95
ywfG,8.95
yvgK,8.94
ypfB,8.94
des,8.93
yfhL,8.92
yphP,679
srfA2,679
cysJ,678
yaaQ,676
codY,674
gtaB,674
pyrE,668
pnpA,668
gltB,668
ndk,664
nusG,657
cwlO,655
yceC,636
mtnA,634
yitK,631
gpmI,629
fhuD,625
yqaP,624
ribH,623
glmM,623
yvgN,622
yufN,613
rpoE,612
estA,612
lutC,611
atpC,610
frlB,608
sufB,605
ykuJ,602
yneT,600
pfkA,594
copZ,592
panD,587
BSU06420,586
qoxB,585
gltA,580
argG,576
aroH,572
mbl,569
rsbV,569
thiD,566
clpX,566
ycnI,565
yorD,564
nadC,564
yqiW,560
dacA,560
yvgO,557
punA,556
rimP,554
epsE,8.91
braB,8.9
gmuF,8.9
yprA,8.88
ytlP,8.87
cotJA,8.87
yraL,8.87
ycsG,8.86
yqaS,8.84
opuBB,8.83
yosF,8.83
yngE,8.83
ygaB,8.83
yhjG,8.82
bscR,8.8
yxkI,8.8
sipV,8.79
yddG,8.79
ccpB,8.77
epsF,8.77
sspO,8.76
ybbA,8.76
nfi,8.75
ydbC,8.75
yxjL,8.72
mmgA,8.72
hrcA,8.71
BSU21580,8.71
panE,8.69
ykzI,8.69
bmr,8.69
ydaO,8.68
fnr,8.68
ywcI,8.68
ytlA,8.68
yxeR,8.66
yycP,8.65
xerC,8.64
ynaC,8.64
yycJ,8.63
ykvT,8.63
yjiC,8.63
yxiS,8.62
ynfE,8.61
yxaJ,8.59
yopC,8.59
ybgA,8.58
ydgK,8.58
pksR,8.58
ycbU,8.58
yplP,8.57
Bsubs1_010100008971,8.57
tadA,8.56
yndD,8.56
ydcG,8.56
malL,8.54
yetM,8.54
levR,8.53
yhaO,8.5
yitF,8.48
nnrD,8.47
yesU,8.47
ytxB,8.47
yqxA,8.46
yqaG,8.45
ypbF,8.45
yecA,8.45
ylxJ,8.44
degA,8.44
yomY,8.43
blyA,8.41
yorR,8.4
yqgU,8.39
yuxH,8.38
glnL,8.35
spsF,8.35
ycbD,8.34
yhdT,8.33
ytrB,8.33
yfiQ,8.31
ntdC,8.3
yxdL,8.29
proH,8.29
queG,8.29
yrrC,8.29
yqjA,8.28
yazA,8.26
yrvC,8.26
yvmC,8.26
yjkB,8.25
ykoJ,8.25
yrhE,8.22
sigD,8.21
ywdA,8.21
yqhG,8.21
ykfC,8.2
yhjR,8.2
yqaN,8.18
rhaM,8.18
lmrA,8.17
yfjB,8.17
yobE,8.16
dacF,8.16
nasC,8.14
ytjA,8.14
yosD,8.14
ydeF,8.13
yozM,8.13
ytfI,8.11
yqbF,8.11
ybfI,8.1
flgB,8.1
cotF,8.1
ytcB,8.08
yfiJ,8.07
yvdM,8.04
yocL,8.01
pucI,8
yjiB,7.97
yusW,7.95
yobS,7.94
ykuH,7.93
sigG,7.92
yvzJ,7.91
lytG,7.91
yisJ,7.9
ybfK,7.89
yozL,7.89
yorI,7.88
ysfB,7.88
gabT,7.87
yomV,7.87
ydiP,7.85
Bsubs1_010100011936,7.85
yorM,7.85
yeeA,7.84
rsfA,7.84
nasB,7.83
tcyN,7.82
cwlD,7.82
yocB,7.82
cotJC,7.81
yotC,7.8
mccA,7.79
txpA,7.78
yhcK,7.78
yodQ,7.76
ppsD,7.75
scoB,7.74
yopA,7.74
ykoT,7.72
yolC,7.69
hxlR,7.68
yopY,7.68
ydcP,7.67
yfnE,7.67
yxiM,7.65
yoaS,7.64
ganR,7.64
liaR,7.63
yngF,7.63
abn2,7.63
ymzC,7.62
bbmA,7.62
yvjA,7.62
ykvA,7.62
yvdA,7.62
ylmH,7.59
yngL,7.57
yoaP,7.57
yqzH,7.55
yusZ,7.55
ywfB,7.52
qdoI,7.52
yorT,7.52
ysxE,7.5
gutB,7.48
yosQ,7.47
ydfH,7.46
pksB,7.46
ruvB,7.46
xtmB,7.45
desK,7.44
ntdB,7.44
yomH,7.43
yxkH,7.42
ydaB,7.42
ylxH,7.41
yqhH,7.41
allB,7.41
cdaS,7.4
uxaB,7.39
yhcM,7.39
csbB,7.38
yacP,7.38
BSU25210,7.38
Bsubs1_010100014626,7.38
spsB,7.37
abfA,7.36
dctR,7.36
yaaI,7.34
yozF,7.31
yoqG,7.29
yhjH,7.29
bofC,7.27
rapH,7.26
menC,7.24
xkdA,7.24
yqfC,7.23
ykzC,7.23
uxuB,7.22
capB,7.2
pucG,7.2
yomN,7.2
pksI,7.2
comQ,7.19
glnT,7.19
yyzB,7.16
epsD,7.16
ecsC,7.15
yprB,7.14
spoIIP,7.13
pabC,7.13
ydeB,7.12
sbcD,7.12
spsK,7.12
ywqE,7.12
tepA,7.11
pksN,7.11
yugS,7.11
yrbG,7.09
tuaG,7.08
yyaL,7.07
egsA,7.07
ytbE,7.06
rapD,7.05
mntC,7.05
ggaA,7.04
ykoX,7.04
ylqH,7.04
ygxB,7.04
yjcD,7.04
yomM,7.02
yteT,7.02
gltR,7.01
dnaC,7.01
yogA,7.01
yxaU,7.01
yrhK,7
yfiZ,6.99
yotM,6.99
yozG,6.99
comGE,6.98
aldX,6.98
yyaH,6.98
yoqJ,6.98
yneB,6.97
yrkP,6.97
ppsB,6.97
ytaP,6.97
yqjD,6.97
ykzH,6.96
fni,6.96
xlyA,6.95
ykoI,6.93
yvbW,6.93
yqcA,6.91
recQ,6.91
yfkR,6.91
cypA,6.91
yqjT,6.91
fhuG,6.89
xkdC,6.89
ywqA,6.88
yopP,6.87
ywbI,6.87
ytpA,6.87
yesZ,6.87
ydiM,6.86
azlC,6.86
BSU29230,6.85
nicK,6.84
yosT,6.83
xkdD,6.83
safA,6.82
yflJ,6.82
spmA,6.81
rocR,6.81
ywlB,6.77
ycdB,6.75
cydB,6.75
cdsA,6.75
ymfJ,6.75
lipO,6.75
ydfJ,6.74
ywbE,6.74
ysgA,6.73
yomI,6.73
recO,6.73
yisP,6.73
yqzG,6.71
rapE,6.7
gerKA,6.7
nasF,6.7
yraM,6.7
ydfM,6.69
flhB,6.69
ypjB,6.68
yoqC,6.67
flhF,6.66
rbsR,6.65
yezB,6.64
yesR,6.64
ysoA,6.63
ywoB,6.63
yddD,6.63
BSU21640,6.62
acuC,6.62
ylbM,6.61
mrpF,6.6
yxdJ,6.58
bceR,6.58
yetK,6.58
ybfP,6.58
yopW,6.57
yonF,6.56
tuaH,6.56
moeB,6.56
yheC,6.55
yxeA,6.55
yyaC,6.55
yosX,6.54
gerAC,6.54
coiA,6.54
yoqF,6.53
ybfB,6.53
nucB,6.52
yerD,6.51
tyrT,6.5
trpF,6.5
ygzD,6.5
hutM,6.5
xtmA,6.5
yrrD,6.49
ywaE,6.49
xhlA,6.49
yjmD,6.48
ywiE,6.48
fliP,6.46
yqbJ,6.46
hup2,6.45
ywrB,6.45
ytpB,6.45
gmuE,6.45
cypX,6.43
sspD,6.43
yceJ,6.42
yvcR,6.42
menD,6.42
xkdT,6.42
yqhB,6.41
ypeB,6.39
lytS,6.37
yesV,6.37
ydjA,6.37
ywaD,6.36
yycO,6.36
yqjP,6.36
ytrD,6.35
coxA,6.34
ytdP,6.32
yfiF,6.32
yulB,6.31
yqgT,6.3
pksM,6.29
ctaB2,6.29
ctaG,6.29
ynfC,6.28
yutC,6.27
araB,6.26
sigI,6.25
yonK,6.25
ycgJ,6.24
asnO,6.23
spoIIIAG,6.23
yraF,6.22
comGG,6.22
guaD,6.21
cotZ,6.2
yvkB,6.2
xylB,6.19
bhlB,6.18
yktD,6.17
yfhO,6.16
yddR,6.13
sspN,6.12
pdaA,6.12
yycA,6.12
hemD,6.11
yodP,6.11
bceS,6.1
yrpG,6.09
glxK,6.08
yabG,6.07
rocC,6.07
yhaZ,6.06
yjfC,6.06
lcfB,6.06
pksJ,6.06
ywrD,6.04
yrrT,6.03
ypzA,6.03
yfnD,6.03
ybaD,6.02
ynaJ,6.01
yfiG,6.01
yisV,6
splB,5.99
yonD,5.98
sspJ,5.98
yodM,5.98
sirA,5.97
yndL,5.97
bceB,5.97
yttP,5.97
yitB,5.96
gntR,5.96
ykfA,5.95
yomF,5.95
ybdG,5.95
yfiI,5.94
ynaE,5.93
gerT,5.93
yngH,5.92
yesS,5.92
adeR,5.91
ydeC,5.91
cydD,5.9
yqbK,5.89
glnP,5.89
mtbP,5.88
glgD,5.87
ysdA,5.87
yoqS,5.87
yezD,5.87
yorX,5.87
yngA,5.86
yjaV,5.84
yjqC,5.84
rhaA,5.84
cimH,5.83
yhaN,5.83
yhjN,5.82
yrdK,5.81
yobF,5.81
yonE,5.81
ctpB,5.81
yybK,5.8
yorV,5.8
yxiP,5.8
pucA,5.79
Bsubs1_010100012801,5.79
yunE,5.78
yjqB,5.77
ywpG,5.77
yqcD,5.75
citR,5.74
ytxO,5.74
sacC,5.74
ydfR,5.73
yclF,5.72
lipC,5.72
xkdW,5.72
ykoQ,5.71
ytzC,5.7
gpr,5.69
yisY,5.68
yusT,5.67
ywmA,5.66
ydiK,5.65
cwlA,5.65
ydaK,5.65
cwlK,5.64
yoqM,5.64
ybaC,5.64
uxuA,5.6
yviE,5.6
pucL,5.59
yqaC,5.58
ganA,5.57
ycgK,5.56
yvbX,5.56
scpA,5.55
yosK,5.54
ywnF,5.54
yuxG,5.51
yisQ,5.51
ywcC,5.5
ydfL,5.5
spoVD,5.5
nusA,554
yubF,551
pyrH,551
ywnC,548
argJ,548
srfA1,546
swrC,545
aspS,544
hit,541
ycnE,539
apt,537
azoR1,528
rok,527
defB,527
BSU22600,523
ackA,522
yqzD,518
atpE,516
ylbA,512
ydbP,511
yvrP,508
degU,505
yjhA,502
ygaF,501
pstS,500
atpH,500
asnS,499
ileS,496
ahpF,495
zwf,495
srfAC,493
drm,489
rsfS,487
ilvK,485
menB,481
argF,479
nadA,476
cccA,476
ilvD,472
recA,472
cmk,471
ytpR,471
pgdS,470
cshA,469
ytxG,468
atpG,467
yhfQ,464
fabF,461
pdxT,460
azoR2,459
yvgT,5.5
ytcA,5.5
yhcT,5.49
yckE,5.48
yopO,5.48
yfmO,5.48
yomX,5.48
menE,5.47
yqjV,5.47
ylaB,5.46
lrpB,5.45
yxkF,5.45
manR,5.45
ytxM,5.44
yonJ,5.44
yoxB,5.43
ykuC,5.43
citA,5.42
yvdJ,5.41
yybE,5.41
yorL,5.41
yxeQ,5.41
xsa,5.4
mhqN,5.4
yybL,5.4
ycdG,5.4
sqhC,5.4
ykvZ,5.39
spsG,5.38
bltD,5.38
yrkH,5.38
yitT,5.38
ywrK,5.37
yqaJ,5.36
mobB,5.36
yqbO,5.36
ylqG,5.35
yvfT,5.34
yrhH,5.34
yeaA,5.31
ybcC,5.3
yjzC,5.29
tilS,5.29
dctB,5.29
yvbU,5.29
ywdH,5.28
yvgJ,5.28
yxiH,5.28
ykgA,5.28
ykoN,5.27
ykvI,5.27
cotI,5.27
ymzB,5.27
hutH,5.27
pucC,5.26
sigM,5.25
yqgC,5.25
yfiM,5.24
pbpG,5.24
yhjP,5.23
ykoY,5.23
gerPC,5.22
yrdO,5.22
slp,5.22
yddH,5.22
fruR,5.22
xlyB,5.22
bmrR,5.21
ynzI,5.21
yclI,5.21
yjaU,5.21
tcyM,5.2
ydcH,5.18
yuiC,5.18
bcrC,5.18
yhfM,5.17
ytpI,5.17
ymfI,5.17
glgC,5.15
yjbH,5.15
yeeD,5.14
yveK,5.14
ytlR,5.14
yydH,5.13
yonX,5.13
mreBH,5.13
yjlA,5.11
natB,5.11
hemA,5.1
ynzB,5.1
recS,5.1
yxcD,5.09
spoVAD,5.09
ykuD,5.08
ytlI,5.07
yydK,5.06
yodL,5.06
yjbO,5.05
yqdA,5.05
yesN,5.04
ylxY,5.04
yugO,5.04
yxiJ,5.03
yosC,5.03
yrzE,5.03
gerKC,5.03
dinB2,5.02
yorF,5.01
sinI,5.01
bmrU,5.01
yxjN,5.01
yvdQ,5.01
ygzA,5.01
yndF,5
ybfA,4.99
yyaJ,4.99
ycxD,4.97
epsJ,4.97
tagO,4.97
lcfA,4.97
BSU33160,4.96
ydaJ,4.96
yozH,4.95
yngB,4.95
yqeF,4.94
tuaA,4.94
ypbG,4.93
yybP,4.93
yrvN,4.92
ytcQ,4.91
liaS,4.91
yrkB,4.91
yobU,4.9
spsD,4.9
yqgL,4.89
yfkD,4.89
sfp,4.89
cotH,4.88
glgB,4.87
senS,4.87
csgA,4.87
ykvP,4.86
yqbT,4.86
ybbC,4.85
uxaC,4.85
yvnB,4.84
ycbL,4.83
yjzB,4.82
sdpR,4.82
ywcA,4.82
ywmC,4.82
yoaZ,4.81
yxjF,4.81
pucK,4.8
lon2,4.78
BSU02080,4.78
comEC,4.78
narI,4.78
gutR,4.77
yjiA,4.77
yvaM,4.76
yddS,4.76
yorJ,4.76
yqaH,4.75
ysfE,4.74
lmrB,4.73
glgA,4.73
dctS,4.73
ywcH,4.72
blt,4.71
lplD,4.7
gudD,4.68
ywnJ,4.68
fadG,4.68
ydjJ,4.68
yvlC,4.68
btr,4.68
tuaB,4.67
ywqM,4.66
mmgC,4.66
ywtG,4.66
ycgB,4.66
yvfS,4.65
ykuS,4.65
xkdH,4.65
ydfE,4.64
sigY,4.64
ydfA,4.62
ydaM,4.61
rfbB,4.61
cotX,4.61
dpaA,4.61
yitY,4.6
yqjS,4.59
albF,4.59
yopZ,4.58
gerAA,4.58
yoeD,4.57
Bsubs1_010100014436,4.55
yknU,4.54
yorK,4.54
trpA,4.52
yocN,4.51
yefB,4.51
csbX,4.5
yhbI,4.49
ykkB,4.48
yonC,4.48
araL,4.48
ykvU,4.47
yczC,4.47
ytnM,4.47
yitR,4.47
yhcJ,4.46
yetN,4.46
Bsubs1_010100012836,4.46
amyX,4.45
ligB,4.45
spoIIIAB,4.44
sigO,4.44
yyzM,4.44
epsL,4.44
mhqE,4.44
yqfX,4.43
gdh,4.43
yotE,4.42
yfhS,4.42
yphB,4.42
yjdH,4.41
yomO,4.41
scoA,4.41
yorA,4.41
kinA,4.39
spoIIGA,4.39
arfM,4.38
proJ,4.38
ywpD,4.37
yraG,4.37
yqbA,4.37
yufQ,4.35
yraN,4.35
BSU23190,4.35
fmnP,4.35
ywbG,4.34
yqaL,4.33
ccdA,4.32
yhfW,4.32
yocM,4.32
xkdJ,4.32
araD,4.31
ylbD,4.3
yvpB,4.3
yosJ,4.3
mutY,4.3
xhlB,4.3
ydaN,4.29
pksH,4.29
khtT,4.29
yrkO,4.29
yvcS,4.28
mrpD,4.27
yvaC,4.25
yqhO,4.23
racA,4.21
ytmA,4.21
yndJ,4.2
yfhF,4.2
rsiV,4.2
rocB,4.19
ywrJ,4.18
ywqB,4.18
yppC,4.17
ywqN,4.17
ypiP,4.17
spsE,4.17
msmR,4.17
ribR,4.17
sspH,4.16
ykoW,4.15
yqbD,4.15
ytxN,4.15
ylqD,4.14
ygaK,4.14
yclH,4.14
ywcD,4.13
yfkQ,4.13
yomZ,4.13
yqbE,4.12
spoVB,4.12
uxaA,4.11
yesQ,4.11
yqjB,4.11
eag,4.11
kapD,4.11
yfhP,4.1
yrpC,4.08
yfhA,4.08
yuzG,4.07
norM,4.07
ykvQ,4.06
fhuB,4.06
yjlB,4.05
ykuO,4.04
Bsubs1_010100004028,4.04
ligd,4.04
epsC,4.04
yeeC,4.03
ku,4.03
xkdQ,4.02
sodF,4.02
yomE,4.02
ytxE,4
yugF,3.99
ynaF,3.99
mgsR,3.99
yxeG,3.98
yotL,3.98
yybS,3.97
tmrB,3.95
spo0E,3.95
xkdI,3.95
comGB,3.94
yesX,3.94
yraO,3.93
xkdU,3.92
gerBA,3.92
yabP,3.92
yybH,3.91
adhR,3.91
yomG,3.91
cidA,3.91
yjmC,3.89
ywiC,3.89
yuiB,3.88
ycbT,3.87
mtlR,3.87
mhqO,3.87
ydcF,3.87
yoqX,3.87
moxC,3.86
xkdX,3.86
yotK,3.86
yvaE,3.86
yckD,3.86
yqbH,3.86
yteR,3.84
gerAB,3.84
xynB,3.83
yjbB,3.83
yndA,3.83
pbpI,3.82
yomR,3.82
yxdK,3.82
yxjM,3.82
gluP,3.82
ylxX,3.82
ymaC,3.81
yesY,3.81
lytH,3.81
ecfT,3.79
yesP,3.79
yhfN,3.79
ssuC,3.78
mmgB,3.77
yhxC,3.77
yddN,3.76
csk22,3.76
yndE,3.76
yxjO,3.75
spsC,3.75
yutH,3.75
yuzN,3.74
rodA,3.74
yvcD,3.74
Bsubs1_010100011076,3.74
yorG,3.73
ywmD,3.73
treR,3.72
tcyJ,3.72
ycnC,3.71
ybdJ,3.71
ykzB,3.7
yvbV,3.69
yunB,3.68
yhjO,3.67
yrhL,3.66
ylaK,3.65
mdxK,3.64
yybI,3.64
gltP,3.63
sigK,3.62
ybgJ,3.61
yvkC,3.61
yfnH,3.6
ycgR,3.6
pucB,3.6
ydfB,3.59
epsO,3.58
yoqR,3.58
cgeC,3.58
ydaL,3.58
yfkT,3.57
yugT,3.57
tuaE,3.56
yqkD,3.55
yusE,3.55
yobA,3.54
yomS,3.54
bsdB,3.52
ybdM,3.51
yqjL,3.5
ycgF,3.49
yyaB,3.49
ansZ,3.47
ybbH,3.47
yaaC,3.47
yjcO,3.46
ndhF,3.46
yqbR,3.45
yhdH,3.45
uvsE,3.45
yfkC,3.45
yosG,3.44
yrhG,3.44
yrkQ,3.43
ybfM,3.42
BSU25010,3.42
yaaH,3.42
tlp,3.42
iscS2,3.42
yybF,3.42
albD,3.42
yusG,3.41
yjdJ,3.41
ykoS,3.41
adhA,3.41
yteS,3.4
sboA,3.4
yycS,3.4
yneA,3.39
yqaB,3.39
capA,3.39
ykcB,3.39
spoIVFA,3.38
yobQ,3.38
ybaK,3.38
corA,3.37
yqbS,3.37
glcU,3.37
ycbC,3.36
yjgB,3.35
ytlC,3.35
yteA,3.35
ybcM,3.35
yomL,3.34
yngK,3.34
ydeK,3.32
ydeL,3.31
ansR,3.31
comGF,3.3
paiB,3.3
sigZ,3.3
nprB,3.3
ypqA,3.29
fadM,3.29
Bsubs1_010100003298,3.28
spoIIIAF,3.28
yfiH,3.27
garD,3.27
yqxG,3.27
ydcT,3.26
rsbP,3.26
xkdE,3.25
yeaB,3.25
Bsubs1_010100006576,3.24
ytxD,3.24
ywrA,3.22
ydhJ,3.22
yfiL,3.22
bdbB,3.22
yqcE,3.21
yorW,3.21
pelB,3.21
levF,3.2
spoIID,3.19
yopB,3.19
ytzH,3.18
yqfD,3.18
rhgT,3.18
ytmI,3.17
yhdC,3.17
yxxF,3.17
Bsubs1_010100010771,3.16
spoIVFB,3.15
ykvR,3.15
yxkA,3.15
yddI,3.15
yjpA,3.15
yfnG,3.15
yqbQ,3.14
fabL,457
pyrR,457
qcrA,454
yciC,453
gatB,450
ykaA,448
ldh,444
leuD,439
ylxR,436
wapI,434
rocF,434
yxeB,430
yhfH,430
yerC,428
ytxJ,426
BSU28260,425
wapA,425
spo0F,424
pyrAB,423
hisI,422
hisC,421
yvlB,420
yvbJ,419
secDF,419
gatA,417
pbpC,415
yodF,415
yknX,412
thrS,412
yuaB,410
dhbB,410
ilvB,409
mtrB,404
yceH,403
ytpP,401
punB,400
purQ,397
ychF,392
gltX,392
yozC,390
yjcN,390
pheT,386
gatC,384
iolS,384
ywoF,383
ytmB,380
fur,379
hpr,379
leuS,379
lutB,378
spoVK,3.14
yqaK,3.13
xtrA,3.13
yisR,3.13
yrhP,3.12
glcP,3.1
swrAA,3.1
ydzN,3.1
yheD,3.09
yhdY,3.08
ywfA,3.07
dacC,3.06
ypmP,3.05
cgeB,3.04
yrkK,3.04
yxzG,3.03
ypdP,3.03
yqiI,3.03
yabS,3.02
yhaR,3.01
yonR,3
yqfZ,3
dltB,2.99
yaaO,2.99
yonP,2.97
ytmO,2.97
ytnL,2.96
hutG,2.96
yobN,2.96
ganB,2.94
mhqP,2.93
lplC,2.93
nrgA,2.93
yvzC,2.92
comB,2.91
yddT,2.91
ydfD,2.9
cysP,2.89
ytdA,2.89
yxaT,2.89
albB,2.89
yoqO,2.87
yhjD,2.87
spoIISA,2.87
ylaA,2.85
yrkC,2.84
immA,2.84
sspK,2.83
yodT,2.83
azlD,2.83
yvsG,2.81
yesW,2.81
ykkC,2.8
ydfQ,2.79
ywrE,2.79
Bsubs1_010100010481,2.77
cgeD,2.77
kdgR,2.77
lutR,2.77
yqeC,2.76
ykkD,2.76
ycgS,2.76
aldY,2.76
ywsA,2.75
ylbB,2.75
yfjL,2.75
yodN,2.75
yybO,2.74
pbuE,2.74
iolT,2.73
nrdIB,2.73
yosL,2.7
yotN,2.7
mutT,2.69
yyaD,2.69
ywkF,2.69
tcyK,2.69
yclN,2.69
yoqB,2.69
yodH,2.69
ytvI,2.68
Bsubs1_010100001853,2.68
cgeE,2.67
spsL,2.67
