gene,abundance
dxr,53.5
ywnG,53.5
ruvA,53.4
rsbX,53.4
rghR,53.2
yufO,53.2
pbpD,53.1
cadA,53
yhfT,52.9
recM,52.9
sigB,52.7
yheG,52.5
rsmE,52.5
spxA,52.3
yraI,51.8
ywzH,51.6
dagK,51.3
yhcW,51.2
bshC,51.2
skfA,50.9
dinB,50.9
yvlD,50.9
yunF,50.7
yphF,50.7
yhaQ,50.6
folK,50.6
yshB,50.4
phoD,50.2
thiO,50.2
mdxE,50.1
misCB,50.1
kipI,50.1
thiM,50.1
zosA,50
metA,50
pbpH,49.9
yxzC,49.9
ylxP,49.8
yrrL,49.7
yfjA,49.5
htrB,49.3
ykuN,49.2
yhfO,49.1
polX,49
ypsC,48.9
iscS1,48.8
ykuR,48.7
yhcI,48.5
yceF,48.3
yshD,48.2
prmA,48.2
yflK,48.2
yrrO,48.1
ywpJ,48.1
yqiD,48.1
rsbS,48.1
yfmM,47.9
yshE,47.8
putP,47.7
fliG,47.6
yocD,47.6
efeU,47.5
yjdB,47.3
mntA,47.3
yxeK,47.2
tenI,47.2
skfG,47.1
yuxO,47
yxiG,46.9
yhcH,46.6
dppA,46.6
ycnL,46.6
gerQ,46.4
yjcK,46.4
prkA,46.3
ydbB,46.2
yhxA,46.2
ureA,46.1
trmK,46.1
defA,46.1
yugK,46.1
yxaP,46
proB,45.8
katE,45.7
msmX,45.7
murI,45.7
ydhI,45.7
thyA2,45.6
yhbE,45.5
iolB,45.4
ygxA,45.4
maa,45.3
yuzB,45.3
yoeB,45.2
ybdZ,45.2
bglA,45.2
yrkD,45.1
tcyB,45
yisL,44.9
tsaB,44.8
scpB,44.7
yvaF,44.7
fadH,44.6
nrdI,44.5
yycG,44.4
yfhJ,44.3
ylbG,44.3
yqkK,44.3
yszB,44.2
ywqC,44
mtaB,44
yabD,44
yxaM,44
mfd,43.8
yvrH,43.8
bacC,43.6
glcK,43.4
yisT,43.4
iolC,43.3
yfkI,43.2
licA,43.1
ytbQ,43
pcp,42.8
ytkP,42.6
yjzH,42.6
ung,42.5
yycH,42.5
BSU25660,42.2
galM,42.2
ribC,42.1
ywqJ,42.1
parE,42
rho,42
oppF,42
ywkD,41.9
csaA,41.7
yfjC,41.7
Bsubs1_010100002243,41.7
smc,41.7
cggR,41.6
Bsubs1_010100005266,41.5
dal,41.5
yloA,41.5
gltC,41.4
yjcS,41.2
albA,41.1
galK,41
yncB,40.7
yqxC,40.7
rlmN,40.7
bglH,40.5
ygzB,40.5
ydcC,40.5
ywzC,40.5
flhO,40.3
ywhC,40.3
mcsB,40.3
ureB,40.3
xepA,40.1
pksS,39.7
padC,39.6
mcsA,39.6
alsT,39.6
yaaN,39.5
yjbI,39.5
nfrA2,39.3
iolR,39.3
ydcI,39.3
gabP,39.3
ydeM,39.2
uvr,39.2
ndoAI,39.2
fadN,39.1
rapJ,39.1
yueC,39.1
rpmB,1175
ycdH,1171
gndA,1163
oppA,1162
sufD,1151
rpmH,1148
yceE,1139
cheY,1138
flgG,1128
leuB,1125
sdpC,1122
ykoE,1121
thrC,1118
adk,1116
folD,1103
qoxA,1099
ftsH,1099
pta,1091
yhaH,1085
sdhA,1074
purA,1073
yqfA,1064
nin,1063
yabJ,1062
ytxH,1051
yknW,1040
ptsI,1040
gapB,1019
xpt,1017
aspB,1017
yneF,1017
gcvH,1014
fabG,996
citB,992
ctc,989
fer,985
yjlD,978
grpE,967
pgi,967
divIVA,965
ald,961
yfhC,960
ytsJ,960
cspC,954
yhzA,945
infA,931
yaaK,910
ftsZ,894
purB,892
ppiB,889
ybdP,39.1
bhlA,38.9
yhfP,38.9
ydgH,38.8
glpP,38.8
yscB,38.7
yflO,38.7
proI,38.7
ywbO,38.7
gld,38.5
parC,38.5
fbp,38.5
pksC,38.4
yccF,38.4
gspA,38.3
rsgA,38.3
yojN,38.3
ykzS,38.2
ybdS,38.2
dxs,38
ytrA,38
mraZ,38
yxzF,37.7
tcyP,37.6
yhcX,37.5
yqaR,37.5
yjbK,37.5
ytoA,37.3
